id,label,type,definition,color,size,degree
https://data.crow.nl/imbor/term/37b3ec88-2b30-47f5-8f8d-383433bcf700,Pakketautomaat,Concept,Een automaat een postpakketten waarmee de klant op elk moment van de dag een pakket kan ophalen.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/598dc898-c46f-40d0-bba6-467e7d67b250,b.o.b. beginpunt leiding,Concept,Binnen-onderkant buis begin.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/8ff7b54b-db93-435c-8a6a-191679a8c051,IP40,Concept,Bescherming tegen voorwerpen >1mm en geen bescherming tegen water.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/2786b354-d4bc-43d2-969a-468d6b0ab247,OB712,Concept,Verloop voorrangsweg voor T splitsing.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/c3e32464-5d09-4ba4-a41d-973e6f67d7cd,Tafeltennistafel,Concept,Tafel verdeeld in vier vlakken met dwars over het midden een net waarop de sport tafeltennis gespeeld wordt.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/f639aec6-86db-475a-8a40-974fc8fa6d35,E09,Concept,Parkeergelegenheid alleen bestemd voor vergunninghouders.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/3fd0ef94-3f2c-4556-a885-b774e7e949c9,Kempense heidelibel,Concept,"Sympetrum depressiusculum, een insect uit de familie van de korenbouten. De libel is voornamelijk oranjerood en heeft zwarte poten.",#FFEAA7,5,5
https://data.crow.nl/imbor/term/4acde1d7-922d-40b7-b95f-3f7a0551b1d2,Bronhouder,Concept,Verantwoordelijke voor de registratie van een gebied binnen de Landelijke Voorziening Basisregistratie Grootschalige Topografie.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/2e7e852b-0844-4cf2-8335-a9badd9d62b6,IP44,Concept,Bescherming tegen voorwerpen >1mm en bescherming tegen opspattend en sproeiend water vanuit elke hoek.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/802d2cf9-f965-476a-872d-73e62ececdc9,AB10rSymboolWaarde,Concept,Blauw strookbord met symbool en tekst en pijl naar rechts.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/b0e53a9c-f4b9-48f5-ace1-9a1255258f5f,Hoogwerker 12 meter,Concept,Om het object te bereiken moet een machine gebruikt worden die toelaat om op een veilige manier te werken aan hoger gelegen installaties door de uitvoerend werker te verheffen tot de benodigde hoogte van maximaal 12 meter.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/30c6bb65-d1db-412f-94ab-11cffd92cddc,Markering oplaadpunt elektrische auto,Concept,Een wegmarkering met het symbool van het opladen van een elektrische auto dat een laadvak aanduidt.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/7f0c5a1e-735e-408c-9b46-1460e5070a58,Reservekabel,Concept,,#FFEAA7,5,4
https://data.crow.nl/imbor/term/f8670398-a6d1-4071-8010-6adcb9e60fea,T201le,Concept,Einde lege pijlconfiguratie pijl naar links.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/99a46c07-4f36-465f-b149-ed44d7788e0c,E102zbks,Concept,Zone betaald parkeren (bankpas).Bij overtreding volgt wielklem of wegsleep.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/3c0e9f0f-a48d-4c2a-8da2-7bd5336b8295,meeteenheid,Concept,Aanduiding voor de maat van een verkeerstelling of de datastroom van een sensor.,#FFEAA7,5,7
https://data.crow.nl/imbor/term/32017255-1d0b-4c52-a9a3-faf7c9b7dcd3,Ecoduct,Concept,Wildwissel in de vorm van een viaduct voor passages van dieren over een weg of spoorweg.,#FFEAA7,5,7
https://data.crow.nl/imbor/term/6345eda4-0e0e-4967-a0d4-7681d3ff176d,E08r,Concept,Parkeergelegenheid voor autodelen.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/e09adb0c-b5a3-4ff9-a750-e20b96d9398b,BeregeningsinstallatieVerschijningsvorm,Concept,Het enumeratietype voor de domeinwaardenlijst van de klasse Beregeningsinstallatie en het attribuut verschijningsvorm.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/8aefafa2-541e-4ff9-a153-eadeb1dd7c7d,aantal obstakels,Concept,"Aanduiding voor de hoeveelheid objecten die binnen het groenobject op de uitvoering van de beheerwerkzaamheid (snoeien, maaien) van invloed zijn (kan (deels) berekend worden).",#FFEAA7,5,6
https://data.crow.nl/imbor/term/04123968-f04a-4d46-85b3-5eafae3d20fb,Immobilisaat,Concept,Een materiaal dat zodanig is bewerkt dat verontreinigde stoffen in de grond waar het uit bestaat in de grond vastgelegd zijn.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/c9c37392-e60f-4859-a25c-d3d77e702541,OB627,Concept,Symbool met tekst beweegbaar obstakel.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/1cf66bdb-da5a-43f5-b3b8-5929601a2c80,Bloemrijk droog gras,Concept,"Verschijningsvorm: grasterrein met gevarieerd grasmengsel met kruidachtige en bloemrijke vegetatie, met een maximale hoogte van 1000 mm, Functie: verschillende functies, bijvoorbeeld verfraaiing, Beheer: Het beheer kan bestaan uit 2 keer per jaar maaien, of maaien en nabegrazing of alleen begrazing. Het doel is fase 4 in stand te houden. Wanneer je verder wenst te verschralen, omdat je mogelijkheden ziet voor schraalland (fase 5), moet je 2 keer per jaar maaien. De graslanden worden doorgaans niet bemest. (Bron: Ecopedia)",#FFEAA7,5,8
https://data.crow.nl/imbor/term/3580fc8b-541f-4b47-981b-d29c202f720d,T14-3l,Concept,"Voorwaarschuwingsborden bij werk in uitvoering, asverlegging van 3 rijstroken met 1 rijstrook naar links naar de naastliggende rijstrook.",#FFEAA7,5,6
https://data.crow.nl/imbor/term/fbaa40c8-fa10-42c1-bbea-928c87ec57fd,binnenonderkant onderdeel,Concept,Vastleggen van de hoogte t.o.v. NAP van de binnenonderkant van het beginunt en eindpunt van een onderdeel.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/d787ef0d-5ac1-4d98-b4fe-5dd904ba4ae8,Ontlastput,Concept,"Een put (meestal bij de regenpijp) voor de tijdelijke opslag van afvalwater, als de buitenriolering niet in staat is om het afvalwater af te voeren.",#FFEAA7,5,6
https://data.crow.nl/imbor/term/afbc6611-b830-459d-ae34-2da9b29d371f,Roostergoot,Concept,Goot die aan de bovenzijde is afgedekt met een metalen rooster.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/ed063dd7-34ca-4970-8057-511372e30898,H.2a,Concept,Naamgeving vaarwater of object.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/51f4d9bc-3ecf-48d4-9adb-373bdce9453b,eenheid,Concept,Aanduiding van de maat waarmee het beheerareaal opgemeten wordt (afhankelijk van het objecttype).,#FFEAA7,5,6
https://data.crow.nl/imbor/term/7848a8dc-055d-4b36-9f3b-bcbbb1f9a292,meta-informatie,Concept,Gegevens die de karakteristieken van bepaalde gegevens beschrijven.,#FFEAA7,5,12
