id,label,type,color,size,degree
http://dbpedia.org/ontology/NaturalEvent,natural event,Class,#FF6B6B,5,6
http://dbpedia.org/ontology/Crustacean,crustacean,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/notableWine,notable wine,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/GolfCourse,golf course,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/raceTrack,race track,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/commissioner,commissioner,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/relief,relief,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/nameAsOf,so named since,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/governingBody,governing body,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Painter,painter,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/purchasingPowerParityYear,purchasing power parity year,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Chef,chef,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/Casino,casino,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/frequencyOfPublication,frequency of publication,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Standard,standard,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/motto,motto,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/nflCode,nfl code,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/codeStockExchange,code Stock Exchange,DatatypeProperty,#BDC3C7,5,3
http://dbpedia.org/ontology/approvedByLowerParliament,date of approval by lower parliament,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Year,year,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/previousDemographics,previous demographics,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/pastor,pastor,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/bioclimate,bioclimate,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/starRating,star rating,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/water,water,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/boxerStyle,boxing style,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/destructionDate,destruction date,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/originalNotLatinTitle,titre original non latin,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Mosque,mosque,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/oldTeamCoached,old team coached,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/bridgeCarries,bridge carries,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/locusSupplementaryData,locus supplementary data,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/valvetrain,valvetrain,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/supplies,supplies,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Castle,castle,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/flashPoint,flash point,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/regionalCouncil,regional council,ObjectProperty,#BDC3C7,5,2
