source,target,source_label,target_label,predicate,predicate_label,edge_type
http://dbpedia.org/ontology/Band,http://dbpedia.org/ontology/Group,Band,group,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/refgeo,literal_-2406717656637162933,reference for geographic data,"""reference for geographic data""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/aspectRatio,literal_8443505555438249355,Aspect Ratio,"""Aspect Ratio""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/Engine,http://dbpedia.org/ontology/Device,engine,device,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/Letter,http://dbpedia.org/ontology/WrittenWork,letter,written work,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/diocese,literal_-1484533577166550588,diocese,"""diocese""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/gdpPerCapita,http://www.w3.org/2002/07/owl#DatatypeProperty,gross domestic product (GDP) per capita,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/isPartOfAnatomicalStructure,literal_7968387943139728377,is part of anatomical structure,"""is part of anatomical structure""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/jockey,literal_-3075375920830182002,jockey,"""jockey""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/numberOfEtoilesMichelin,http://www.w3.org/2002/07/owl#DatatypeProperty,number of étoiles Michelin,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/productionEndYear,literal_-8938354339838158354,production end year,"""production end year""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/Single,http://www.w3.org/2002/07/owl#Class,single,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/regionServed,http://www.w3.org/2002/07/owl#ObjectProperty,region served,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/areaRank,literal_-98838269705379691,area rank,"""area rank""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/routeStart,http://www.w3.org/2002/07/owl#ObjectProperty,route start,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/CricketLeague,http://www.w3.org/2002/07/owl#Class,cricket league,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/ChessPlayer,http://www.w3.org/2002/07/owl#Class,chess player,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/numberOfCounties,literal_-6398746724288576236,number of counties,"""number of counties""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/lawCountry,http://www.w3.org/2002/07/owl#DatatypeProperty,law country,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/Engine/height,http://www.w3.org/2002/07/owl#DatatypeProperty,height (mm),DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/MovieGenre,http://dbpedia.org/ontology/Genre,movie genre,genre,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/aircraftHelicopterCargo,literal_-3060485391566741008,aircraft helicopter cargo,"""aircraft helicopter cargo""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/countryOrigin,http://www.w3.org/2002/07/owl#ObjectProperty,country origin,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/consecration,http://www.w3.org/2002/07/owl#DatatypeProperty,consecration,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/bpnId,http://dbpedia.org/ontology/code,BPN Id,code,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,subPropertyOf,subPropertyOf
http://dbpedia.org/ontology/musicBrainzArtistId,http://www.w3.org/2002/07/owl#DatatypeProperty,MusicBrainz artist id,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/cinematography,literal_-6164665312780854561,cinematography,"""cinematography""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/MultiVolumePublication,http://www.w3.org/2002/07/owl#Class,multi volume publication,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/aircraftElectronic,http://www.w3.org/2002/07/owl#ObjectProperty,aircraft electronic,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/council,literal_4020016332686816206,council of a liechtenstein settlement,"""council of a liechtenstein settlement""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/placeOfBurial,http://www.w3.org/2002/07/owl#ObjectProperty,place of burial,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/subjectOfPlay,http://www.w3.org/2002/07/owl#DatatypeProperty,subject of play,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/SongWriter,literal_7544233246953971447,songwriter,"""songwriter""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/cpu,http://www.w3.org/2002/07/owl#ObjectProperty,CPU,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/Galaxy/density,literal_4294026873317727686,density (μ3),"""density (μ3)""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/father,http://www.w3.org/2002/07/owl#ObjectProperty,father,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/firstLeader,http://www.w3.org/2002/07/owl#ObjectProperty,firstLeader,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/WindMotor,http://dbpedia.org/ontology/Mill,Wind motor,Mill,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/FictionalCharacter,http://www.w3.org/2002/07/owl#Class,fictional character,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/beatifiedDate,http://www.w3.org/2002/07/owl#DatatypeProperty,beatified date,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/episode,literal_-7464266501851930391,episode,"""episode""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/GolfCourse,literal_-3368187653538807295,golf course,"""golf course""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/kindOfRock,literal_5490005496759435487,kind of rock,"""kind of rock""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/disease,literal_7674937677254976326,disease,"""disease""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/maximumAreaQuote,http://www.w3.org/2002/07/owl#DatatypeProperty,maximum area quote,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/MusicalWork,literal_9046611601702618966,musical work,"""musical work""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/productionStartDate,literal_-2211855116196591067,production start date,"""production start date""",http://www.w3.org/2000/01/rdf-schema#label,label,label
